	MDS1	MDS2	variable
Root_Mass_mg	0.244261939849278	-0.015886030509716	Root_Mass
Shoot_Mass_g	0.122711190797361	-0.094668286280335	Shoot_Mass
pH	-0.280235360253016	0.099297790337588	pH
Phosphorous	0.138977615687997	-0.052111542120159	P
Potassium	-0.258214960161472	0.065477755293341	K
Calcium	-0.259914727160977	0.01973640050754	Ca
Magnesium	-0.255406297627152	0.018688199708466	Mg
Copper	-0.241633093336114	0.019497600017492	Cu
Percent_Organic_Matter	0.15475997195876	-0.09	%OrgMat
Sodium	0.196758412810955	-0.088595472516426	Na
Nitrate	-0.183683754096832	0.015279930494205	NO3
Ammonium	0.159208970241827	-0.124507902268178	NH4
Percent_Moisture	0.264128285260585	-0.05	H2O
Total.N	-0.181105866373394	0.090261010894393	TotN
Sulfur	0.100576257910835	-0.046420793125119	S
