Genotype	GT_Origin	Site	Site_GT	Root_Mass_mg	Shoot_Mass_g
LMC	Inland	Coastal	Inland_Coastal	15.2	2.05
LMC	Inland	Coastal	Inland_Coastal	80	2.9
LMC	Inland	Coastal	Inland_Coastal	10.4	1.07
LMC	Inland	Coastal	Inland_Coastal	6.3	0.95
LMC	Inland	Coastal	Inland_Coastal	6.2	0.12
LMC	Inland	Coastal	Inland_Coastal	7	0.0552
LMC	Inland	Coastal	Inland_Coastal	6.7	0.0461
LMC	Inland	Coastal	Inland_Coastal	7.3	0.06
LMC	Inland	Coastal	Inland_Coastal	5	0.1258
LMC	Inland	Coastal	Inland_Coastal	24.8	0.0882
LMC	Inland	Coastal	Inland_Coastal	2	0.1
LMC	Inland	Coastal	Inland_Coastal	10.4	0.09
LMC	Inland	Coastal	Inland_Coastal	1.9	0.0181
LMC	Inland	Inland	Inland_Inland	4.1	0.0068
LMC	Inland	Coastal	Inland_Coastal	21.6	NA
LMC	Inland	Coastal	Inland_Coastal	7.4	0.66
LMC	Inland	Coastal	Inland_Coastal	56.6	0.1156
LMC	Inland	Coastal	Inland_Coastal	13.4	0.1597
LMC	Inland	Coastal	Inland_Coastal	1.75	2.19
LMC	Inland	Inland	Inland_Inland	13.7	0.0125
LMC	Inland	Inland	Inland_Inland	11.7	0.0026
LMC	Inland	Inland	Inland_Inland	35.7	0.0062
LMC	Inland	Inland	Inland_Inland	34.5	0.0046
LMC	Inland	Inland	Inland_Inland	2.1	0.016
LMC	Inland	Coastal	Inland_Coastal	77.3	0.0744
LMC	Inland	Inland	Inland_Inland	13.6	0.0479
LMC	Inland	Inland	Inland_Inland	6.2	0.0042
LMC	Inland	Inland	Inland_Inland	28.6	0.016
LMC	Inland	Inland	Inland_Inland	9.1	0.12
LMC	Inland	Inland	Inland_Inland	12	0.0131
LMC	Inland	Coastal	Inland_Coastal	85.1	0.91
LMC	Inland	Inland	Inland_Inland	9.6	0.035
LMC	Inland	Inland	Inland_Inland	14.3	0.014
LMC	Inland	Inland	Inland_Inland	13.1	0.0072
LMC	Inland	Inland	Inland_Inland	6.3	0.0057
LMC	Inland	Inland	Inland_Inland	12.5	0.0266
LMC	Inland	Inland	Inland_Inland	1.8	0.0179
LMC	Inland	Inland	Inland_Inland	41.5	0.0099
LMC	Inland	Inland	Inland_Inland	48	0.0262
LMC	Inland	Inland	Inland_Inland	11.3	0.0159
LMC	Inland	Inland	Inland_Inland	4.7	0.0167
LMC	Inland	Coastal	Inland_Coastal	0.2057	0.0265
LMC	Inland	Coastal	Inland_Coastal	22.6	1.43
LMC	Inland	Coastal	Inland_Coastal	0.3231	0.206
LMC	Inland	Coastal	Inland_Coastal	75.5	3.95
LMC	Inland	Coastal	Inland_Coastal	41.5	3.62
LMC	Inland	Coastal	Inland_Coastal	1.052	0.34
LMC	Inland	Coastal	Inland_Coastal	1.356	3.92
LMC	Inland	Coastal	Inland_Coastal	46.4	1.16
LMC	Inland	Coastal	Inland_Coastal	0.227	2.87
LMC	Inland	Coastal	Inland_Coastal	28.4	0.3006
MRR	Coastal	Coastal	Coastal_Coastal	82.3	0.0775
MRR	Coastal	Coastal	Coastal_Coastal	97	3.35
MRR	Coastal	Coastal	Coastal_Coastal	74.4	0.4966
MRR	Coastal	Coastal	Coastal_Coastal	40.5	0.1845
MRR	Coastal	Coastal	Coastal_Coastal	22.8	0.1218
MRR	Coastal	Coastal	Coastal_Coastal	54.7	0.1492
MRR	Coastal	Coastal	Coastal_Coastal	40.5	0.1003
MRR	Coastal	Coastal	Coastal_Coastal	147.5	0.3915
MRR	Coastal	Coastal	Coastal_Coastal	204.3	2.4806
MRR	Coastal	Coastal	Coastal_Coastal	164.6	0.5222
MRR	Coastal	Inland	Coastal_Inland	7	0.0393
MRR	Coastal	Inland	Coastal_Inland	5	0.0525
MRR	Coastal	Inland	Coastal_Inland	1.6	0.1682
MRR	Coastal	Inland	Coastal_Inland	8.7	0.5298
MRR	Coastal	Inland	Coastal_Inland	6.5	0.4108
MRR	Coastal	Inland	Coastal_Inland	4	0.0558
MRR	Coastal	Inland	Coastal_Inland	4.3	0.0947
MRR	Coastal	Inland	Coastal_Inland	6.5	0.09
MRR	Coastal	Inland	Coastal_Inland	1	0.0308
MRR	Coastal	Inland	Coastal_Inland	3.6	0.043
MRR	Coastal	Inland	Coastal_Inland	17.5	0.1166
MRR	Coastal	Inland	Coastal_Inland	43.6	0.4276
MRR	Coastal	Inland	Coastal_Inland	15.3	0.0466
MRR	Coastal	Inland	Coastal_Inland	54.5	0.1603
MRR	Coastal	Inland	Coastal_Inland	14.2	0.0988
MRR	Coastal	Inland	Coastal_Inland	15.8	0.1085
MRR	Coastal	Inland	Coastal_Inland	12.3	0.0809
MRR	Coastal	Inland	Coastal_Inland	24.1	0.1938
MRR	Coastal	Inland	Coastal_Inland	22.3	0.0882
MRR	Coastal	Inland	Coastal_Inland	7.5	0.0898
MRR	Coastal	Inland	Coastal_Inland	5.6	0.1641
MRR	Coastal	Inland	Coastal_Inland	8.6	0.1888
MRR	Coastal	Inland	Coastal_Inland	11.7	0.3318
MRR	Coastal	Inland	Coastal_Inland	27.3	0.121
MRR	Coastal	Inland	Coastal_Inland	13.2	0.0646
MRR	Coastal	Inland	Coastal_Inland	8.1	0.0572
MRR	Coastal	Inland	Coastal_Inland	21.1	0.2633
MRR	Coastal	Inland	Coastal_Inland	6.3	0.1045
MRR	Coastal	Inland	Coastal_Inland	13.8	0.0431
MRR	Coastal	Inland	Coastal_Inland	15	0.024
MRR	Coastal	Coastal	Coastal_Coastal	70.4	1.56
MRR	Coastal	Coastal	Coastal_Coastal	0.2	0.4741
MRR	Coastal	Coastal	Coastal_Coastal	101.7	1.31
MRR	Coastal	Coastal	Coastal_Coastal	85.8	0.99
MRR	Coastal	Coastal	Coastal_Coastal	325.21	0.9473
MRR	Coastal	Coastal	Coastal_Coastal	46.3	0.5403
MRR	Coastal	Coastal	Coastal_Coastal	32.4	1.8576
MRR	Coastal	Coastal	Coastal_Coastal	88.3	2.73
MRR	Coastal	Coastal	Coastal_Coastal	122.6	2.54
MRR	Coastal	Coastal	Coastal_Coastal	255.6	0.4263
MRR	Coastal	Coastal	Coastal_Coastal	35.6	1.49
MRR	Coastal	Coastal	Coastal_Coastal	59.1	NA
MRR	Coastal	Coastal	Coastal_Coastal	15.2	0.1507
MRR	Coastal	Coastal	Coastal_Coastal	17.3	0.729
MRR	Coastal	Coastal	Coastal_Coastal	100	0.0952
MRR	Coastal	Coastal	Coastal_Coastal	19.1	1.1641
MRR	Coastal	Coastal	Coastal_Coastal	32.6	0.9638
MRR	Coastal	Coastal	Coastal_Coastal	80.2	1.1103
MRR	Coastal	Coastal	Coastal_Coastal	97	2.23
MRR	Coastal	Coastal	Coastal_Coastal	49	NA
OCC	Inland	Coastal	Inland_Coastal	0.151	0.613
OCC	Inland	Coastal	Inland_Coastal	34.6	0.27
OCC	Inland	Coastal	Inland_Coastal	17.5	0.09
OCC	Inland	Coastal	Inland_Coastal	44.2	0.0626
OCC	Inland	Coastal	Inland_Coastal	5.1	0.0206
OCC	Inland	Coastal	Inland_Coastal	2.5	0.0113
OCC	Inland	Coastal	Inland_Coastal	29	0.0314
OCC	Inland	Coastal	Inland_Coastal	9.4	0.037
OCC	Inland	Coastal	Inland_Coastal	75.5	0.0179
OCC	Inland	Coastal	Inland_Coastal	12.6	0.0626
OCC	Inland	Coastal	Inland_Coastal	16.6	0.0244
OCC	Inland	Inland	Inland_Inland	8	0.0089
OCC	Inland	Inland	Inland_Inland	0.7	0.0127
OCC	Inland	Inland	Inland_Inland	6.8	0.0277
OCC	Inland	Inland	Inland_Inland	23.9	0.0262
OCC	Inland	Inland	Inland_Inland	4.7	0.0917
OCC	Inland	Inland	Inland_Inland	5.1	0.0144
OCC	Inland	Inland	Inland_Inland	3	0.012
OCC	Inland	Coastal	Inland_Coastal	19.4	0.3239
OCC	Inland	Inland	Inland_Inland	15.9	0.0214
OCC	Inland	Inland	Inland_Inland	2.9	0.0127
OCC	Inland	Inland	Inland_Inland	1.1	0.0032
OCC	Inland	Coastal	Inland_Coastal	0.32	0.3
OCC	Inland	Coastal	Inland_Coastal	0.327	0.0068
OCC	Inland	Coastal	Inland_Coastal	0.34	0.1067
OCC	Inland	Coastal	Inland_Coastal	14.3	0.3958
OCC	Inland	Coastal	Inland_Coastal	60.5	0.0079
OCC	Inland	Inland	Inland_Inland	10.3	0.0115
OCC	Inland	Coastal	Inland_Coastal	60.1	0.77
OCC	Inland	Inland	Inland_Inland	12.2	0.0073
OCC	Inland	Inland	Inland_Inland	8.3	0.0102
OCC	Inland	Inland	Inland_Inland	20.5	0.0131
OCC	Inland	Inland	Inland_Inland	1.9	0.0318
OCC	Inland	Inland	Inland_Inland	5.6	0.0056
OCC	Inland	Inland	Inland_Inland	35.5	NA
OCC	Inland	Inland	Inland_Inland	11.6	0.0057
OCC	Inland	Inland	Inland_Inland	6.8	0.0049
OCC	Inland	Coastal	Inland_Coastal	3.6	0.24
OCC	Inland	Inland	Inland_Inland	32.9	0.0086
OCC	Inland	Inland	Inland_Inland	2.3	0.0071
OCC	Inland	Inland	Inland_Inland	14.8	0.0044
OCC	Inland	Inland	Inland_Inland	7.7	0.0136
OCC	Inland	Inland	Inland_Inland	11.8	0.0079
OCC	Inland	Inland	Inland_Inland	3.2	0.0034
OCC	Inland	Inland	Inland_Inland	7.7	0.0024
OCC	Inland	Coastal	Inland_Coastal	10.4	2.15
OCC	Inland	Inland	Inland_Inland	9	0.0076
OCC	Inland	Inland	Inland_Inland	4	0.0082
OCC	Inland	Inland	Inland_Inland	3.7	0.0029
OCC	Inland	Inland	Inland_Inland	3.2	0.007
OCC	Inland	Coastal	Inland_Coastal	22.7	NA
OCC	Inland	Coastal	Inland_Coastal	86.3	0.0477
OCC	Inland	Coastal	Inland_Coastal	3.7	0.69
OCC	Inland	Coastal	Inland_Coastal	0.3509	1.62
OCC	Inland	Coastal	Inland_Coastal	39.8	0.65
OCC	Inland	Coastal	Inland_Coastal	28.5	0.07
OCC	Inland	Coastal	Inland_Coastal	4.5	1.19
OCC	Inland	Coastal	Inland_Coastal	0.47	0.58
OCC	Inland	Coastal	Inland_Coastal	35.8	1.2
OCC	Inland	Coastal	Inland_Coastal	6.5	0.27
SWB	Coastal	Coastal	Coastal_Coastal	228.3	3.07
SWB	Coastal	Coastal	Coastal_Coastal	196.1	1.83
SWB	Coastal	Coastal	Coastal_Coastal	17.6	0.2277
SWB	Coastal	Coastal	Coastal_Coastal	71.6	0.4961
SWB	Coastal	Coastal	Coastal_Coastal	19.2	0.1952
SWB	Coastal	Coastal	Coastal_Coastal	11	0.0805
SWB	Coastal	Coastal	Coastal_Coastal	13.8	0.0675
SWB	Coastal	Coastal	Coastal_Coastal	139.9	0.2152
SWB	Coastal	Coastal	Coastal_Coastal	38	0.0692
SWB	Coastal	Coastal	Coastal_Coastal	58	0.0861
SWB	Coastal	Inland	Coastal_Inland	5.5	0.0731
SWB	Coastal	Inland	Coastal_Inland	10.2	0.202
SWB	Coastal	Inland	Coastal_Inland	15.2	0.0282
SWB	Coastal	Inland	Coastal_Inland	11.8	0.0266
SWB	Coastal	Inland	Coastal_Inland	3.7	0.038
SWB	Coastal	Inland	Coastal_Inland	4	0.0067
SWB	Coastal	Inland	Coastal_Inland	40.9	0.0928
SWB	Coastal	Inland	Coastal_Inland	51	0.0243
SWB	Coastal	Inland	Coastal_Inland	13.4	0.028
SWB	Coastal	Inland	Coastal_Inland	6.1	0.0249
SWB	Coastal	Inland	Coastal_Inland	18.6	0.1609
SWB	Coastal	Inland	Coastal_Inland	18.6	0.1388
SWB	Coastal	Inland	Coastal_Inland	9.6	0.0973
SWB	Coastal	Inland	Coastal_Inland	9.6	0.145
SWB	Coastal	Inland	Coastal_Inland	26.3	0.1395
SWB	Coastal	Inland	Coastal_Inland	6.8	0.0658
SWB	Coastal	Inland	Coastal_Inland	14.5	0.057
SWB	Coastal	Inland	Coastal_Inland	6	0.0689
SWB	Coastal	Inland	Coastal_Inland	6.7	0.0402
SWB	Coastal	Inland	Coastal_Inland	2.2	0.1126
SWB	Coastal	Inland	Coastal_Inland	6.5	0.0633
SWB	Coastal	Inland	Coastal_Inland	29.6	0.0149
SWB	Coastal	Inland	Coastal_Inland	2.4	0.036
SWB	Coastal	Inland	Coastal_Inland	20.5	0.0193
SWB	Coastal	Inland	Coastal_Inland	18.2	0.079
SWB	Coastal	Inland	Coastal_Inland	7.1	0.0257
SWB	Coastal	Inland	Coastal_Inland	14.6	0.0916
SWB	Coastal	Coastal	Coastal_Coastal	75.6	0.6423
SWB	Coastal	Coastal	Coastal_Coastal	35	0.1544
SWB	Coastal	Coastal	Coastal_Coastal	34.3	0.2068
SWB	Coastal	Coastal	Coastal_Coastal	25	0.2752
SWB	Coastal	Coastal	Coastal_Coastal	45.9	0.1361
SWB	Coastal	Coastal	Coastal_Coastal	118.2	0.2532
SWB	Coastal	Coastal	Coastal_Coastal	43.4	0.7967
SWB	Coastal	Coastal	Coastal_Coastal	86	0.1794
SWB	Coastal	Coastal	Coastal_Coastal	59.8	0.4997
SWB	Coastal	Coastal	Coastal_Coastal	38.1	0.5124
SWB	Coastal	Coastal	Coastal_Coastal	53	0.37
SWB	Coastal	Coastal	Coastal_Coastal	17.9	0.4304
SWB	Coastal	Coastal	Coastal_Coastal	17.5	0.3825
SWB	Coastal	Coastal	Coastal_Coastal	40.2	0.6304
SWB	Coastal	Coastal	Coastal_Coastal	9.4	0.1113
SWB	Coastal	Coastal	Coastal_Coastal	33	0.2643
SWB	Coastal	Coastal	Coastal_Coastal	25	0.2854
SWB	Coastal	Coastal	Coastal_Coastal	80	0.3359
SWB	Coastal	Coastal	Coastal_Coastal	11	0.4122
SWB	Coastal	Coastal	Coastal_Coastal	41	0.2813
SWB	Coastal	Inland	Coastal_Inland	15.6	0.0061
SWB	Coastal	Inland	Coastal_Inland	11.5	0.0102
