Site	pH	Phosphorous	Potassium	Calcium	Magnesium	Copper	Percent_Organic_Matter	Sodium	Nitrate	Ammonium	Percent_Moisture	Total-N	Sulfur
Coastal	6.2	14	42	697	220	2.7	3.1	132	0.0	3.2	27.9	0.086	20
Coastal	5.9	19	48	789	223	2.4	3.6	143	0.0	6.1	35.6	0.171	28
Coastal	6.2	19	53	750	213	2.2	3	114	0.0	4.5	34.3	0.114	22
Coastal	6.1	19	63	709	219	1.9	3.2	130	0.0	6.4	32.7	0.135	19
Coastal	6.0	16	40	996	262	2.9	4.4	160	0.0	6.1	40.7	0.187	29
Coastal	5.9	18	39	895	259	2.5	4.8	154	0.0	7.1	40.1	0.162	27
Inland	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19
Inland	6.3	3	189	2635	1791	20.4	4.1	52	0.2	4.1	16.8	0.143	14
Inland	6.0	4	160	2556	1602	25.2	6.1	52	1.1	7.2	19.1	0.239	21
Inland	6.0	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.210	18
Inland	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15
Inland	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14
